                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
Xe-127  36.4 d EC           K -L2  2.54E-01  2.831E-02  1.15E-15
                            K -L3  4.72E-01  2.861E-02  2.16E-15
                            K -M2  4.39E-02  3.224E-02  2.27E-16
                            K -M3  8.51E-02  3.229E-02  4.40E-16
                            K -M4  4.12E-04  3.252E-02  2.15E-18
                            K -M5  5.65E-04  3.253E-02  2.94E-18
                            L -M4  9.15E-03  3.302E-02  4.84E-17
                            L -M5  1.79E-02  3.303E-02  9.47E-17
                            K -N2  7.32E-05  3.310E-02  3.88E-19
                            K -N3  1.00E-04  3.311E-02  5.31E-19
                            K -N4  7.32E-04  3.315E-02  3.89E-18
                            K -N5  1.37E-03  3.315E-02  7.28E-18
                            L1-L3  3.94E-06  3.044E-04  1.92E-22
                            L1-M2  6.79E-05  6.074E-04  6.61E-21
                            L1-M3  2.59E-03  4.235E-03  1.76E-18
                            L1-M4  4.11E-03  4.292E-03  2.83E-18
                            L1-M5  3.71E-05  4.520E-03  2.68E-20
                            L1-N2  5.54E-05  4.533E-03  4.02E-20
                            L1-N3  5.46E-04  5.016E-03  4.39E-19
                            L1-N4  8.88E-04  5.028E-03  7.15E-19
                            L1-N5  4.34E-06  5.102E-03  3.55E-21
                            L1-O2  6.58E-06  5.104E-03  5.38E-21
                            L1-O3  4.76E-05  5.151E-03  3.93E-20
                            L1-03  7.42E-05  5.152E-03  6.13E-20
                            L2-N1  1.99E-08  3.030E-04  9.68E-25
                            L2-N3  1.38E-03  3.802E-03  8.39E-19
                            L2-N4  1.93E-05  3.988E-03  1.23E-20
                            L2-N6  2.46E-02  4.216E-03  1.66E-17
                            L2-O1  1.90E-04  4.666E-03  1.42E-19
                            L2-O3  2.22E-06  4.723E-03  1.68E-21
                            L2-O4  3.52E-03  4.797E-03  2.71E-18
                            L2-P1  2.14E-05  4.836E-03  1.66E-20
                            L2-P3  1.86E-07  4.848E-03  1.44E-22
                            L3-N5  4.84E-03  3.499E-03  2.71E-18
                            L3-N6  2.62E-05  3.627E-03  1.52E-20
                            L3-N7  2.44E-05  3.685E-03  1.44E-20
                            L3-O1  4.79E-03  3.913E-03  3.00E-18
                            L3-O2  4.24E-02  3.925E-03  2.67E-17
                            L3-O3  4.08E-04  4.363E-03  2.86E-19
                            L3-O4  2.14E-06  4.409E-03  1.51E-21
                            L3-O5  2.05E-06  4.420E-03  1.45E-21
                            L3-O6  6.67E-04  4.494E-03  4.80E-19
                            L3-O7  5.94E-03  4.496E-03  4.28E-18
                            L3-P3  5.43E-05  4.533E-03  3.94E-20
                            L3-Q1  1.85E-07  4.544E-03  1.35E-22
                            M1-M2  1.71E-07  4.545E-03  1.24E-22
                            M3-M5  5.01E-03  5.703E-04  4.58E-19
                            M3-N1  1.21E-04  8.415E-05  1.64E-21
                            M3-N5  1.47E+01  1.527E-05  3.60E-17
                                                  Total 4.24E-15
Xe-127m 69.2 s IT           K -L2  1.56E-01  2.945E-02  7.38E-16
                            K -L3  2.90E-01  2.978E-02  1.38E-15
                            K -M2  2.72E-02  3.357E-02  1.46E-16
                            K -M3  5.27E-02  3.363E-02  2.84E-16
                            K -M4  2.68E-04  3.387E-02  1.46E-18
                            K -M5  3.66E-04  3.388E-02  1.99E-18
                            L -M4  5.70E-03  3.440E-02  3.14E-17
                            L -M5  1.11E-02  3.441E-02  6.13E-17
                            K -N2  5.00E-05  3.449E-02  2.76E-19
                            K -N3  6.82E-05  3.449E-02  3.77E-19
                            K -N4  5.84E-04  3.454E-02  3.23E-18
                            K -N5  1.11E-03  3.455E-02  6.12E-18
                            L1-L3  1.89E-06  3.130E-04  9.50E-23
                            L1-M2  3.56E-05  6.422E-04  3.67E-21
                            L1-M3  1.33E-03  4.427E-03  9.40E-19
                            L1-M4  2.09E-03  4.490E-03  1.50E-18
                            L1-M5  1.97E-05  4.726E-03  1.49E-20
                            L1-N2  2.95E-05  4.739E-03  2.24E-20
                            L1-N3  2.86E-04  5.256E-03  2.41E-19
                            L1-N4  4.62E-04  5.269E-03  3.90E-19
                            L1-N5  2.40E-06  5.347E-03  2.06E-21
                            L1-O2  3.65E-06  5.349E-03  3.13E-21
                            L1-O3  3.25E-05  5.405E-03  2.81E-20
                            L1-03  5.04E-05  5.406E-03  4.37E-20
                            L2-N1  2.18E-08  3.292E-04  1.15E-24
                            L2-N3  1.24E-03  3.982E-03  7.94E-19
                            L2-N4  1.80E-05  4.177E-03  1.20E-20
                            L2-N6  2.31E-02  4.413E-03  1.64E-17
                            L2-O1  1.78E-04  4.896E-03  1.39E-19
                            L2-O3  2.23E-06  4.956E-03  1.77E-21
                            L2-O4  3.45E-03  5.034E-03  2.79E-18
                            L2-P1  2.13E-05  5.080E-03  1.73E-20
                            L2-P3  2.43E-07  5.093E-03  1.98E-22
                            L3-N5  3.72E-03  3.653E-03  2.17E-18
                            L3-N6  2.05E-05  3.785E-03  1.24E-20
                            L3-N7  1.91E-05  3.848E-03  1.18E-20
                            L3-O1  3.80E-03  4.084E-03  2.48E-18
                            L3-O2  3.36E-02  4.097E-03  2.21E-17
                            L3-O3  3.27E-04  4.566E-03  2.40E-19
                            L3-O4  1.81E-06  4.614E-03  1.33E-21
                            L3-O5  1.73E-06  4.627E-03  1.28E-21
                            L3-O6  5.52E-04  4.705E-03  4.16E-19
                            L3-O7  4.92E-03  4.707E-03  3.71E-18
                            L3-P3  4.61E-05  4.751E-03  3.51E-20
                            L3-Q1  2.04E-07  4.762E-03  1.56E-22
                            M1-M2  1.89E-07  4.764E-03  1.44E-22
                            M3-M5  4.38E-03  6.081E-04  4.27E-19
                            M3-N1  1.07E-04  9.228E-05  1.58E-21
                            M3-N5  1.07E+01  1.662E-05  2.86E-17
                                                  Total 2.74E-15
Xe-129m 8.88 d IT           K -L2  3.65E-01  2.945E-02  1.72E-15
                            K -L3  6.76E-01  2.978E-02  3.22E-15
                            K -M2  6.34E-02  3.357E-02  3.41E-16
                            K -M3  1.23E-01  3.363E-02  6.63E-16
                            K -M4  6.26E-04  3.387E-02  3.40E-18
                            K -M5  8.55E-04  3.388E-02  4.64E-18
                            L -M4  1.33E-02  3.440E-02  7.33E-17
                            L -M5  2.59E-02  3.441E-02  1.43E-16
                            K -N2  1.17E-04  3.449E-02  6.45E-19
                            K -N3  1.59E-04  3.449E-02  8.79E-19
                            K -N4  1.36E-03  3.454E-02  7.54E-18
                            K -N5  2.58E-03  3.455E-02  1.43E-17
                            L1-L3  5.91E-06  3.130E-04  2.97E-22
                            L1-M2  1.11E-04  6.422E-04  1.14E-20
                            L1-M3  4.14E-03  4.427E-03  2.93E-18
                            L1-M4  6.52E-03  4.490E-03  4.69E-18
                            L1-M5  6.16E-05  4.726E-03  4.67E-20
                            L1-N2  9.20E-05  4.739E-03  6.99E-20
                            L1-N3  8.92E-04  5.256E-03  7.51E-19
                            L1-N4  1.44E-03  5.269E-03  1.22E-18
                            L1-N5  7.50E-06  5.347E-03  6.42E-21
                            L1-O2  1.14E-05  5.349E-03  9.76E-21
                            L1-O3  1.01E-04  5.405E-03  8.78E-20
                            L1-03  1.57E-04  5.406E-03  1.36E-19
                            L2-N1  3.74E-08  3.292E-04  1.97E-24
                            L2-N3  2.14E-03  3.982E-03  1.36E-18
                            L2-N4  3.09E-05  4.177E-03  2.07E-20
                            L2-N6  3.97E-02  4.413E-03  2.81E-17
                            L2-O1  3.05E-04  4.896E-03  2.39E-19
                            L2-O3  3.82E-06  4.956E-03  3.03E-21
                            L2-O4  5.93E-03  5.034E-03  4.79E-18
                            L2-P1  3.66E-05  5.080E-03  2.98E-20
                            L2-P3  4.17E-07  5.093E-03  3.41E-22
                            L3-N5  7.80E-03  3.653E-03  4.56E-18
                            L3-N6  4.31E-05  3.785E-03  2.61E-20
                            L3-N7  4.01E-05  3.848E-03  2.47E-20
                            L3-O1  7.97E-03  4.084E-03  5.21E-18
                            L3-O2  7.06E-02  4.097E-03  4.64E-17
                            L3-O3  6.87E-04  4.566E-03  5.03E-19
                            L3-O4  3.79E-06  4.614E-03  2.80E-21
                            L3-O5  3.64E-06  4.627E-03  2.70E-21
                            L3-O6  1.16E-03  4.705E-03  8.73E-19
                            L3-O7  1.03E-02  4.707E-03  7.79E-18
                            L3-P3  9.67E-05  4.751E-03  7.36E-20
                            L3-Q1  4.29E-07  4.762E-03  3.27E-22
                            M1-M2  3.96E-07  4.764E-03  3.02E-22
                            M3-M5  8.90E-03  6.087E-04  8.68E-19
                            M3-N1  2.20E-04  9.224E-05  3.25E-21
                            M3-N5  2.20E+01  1.662E-05  5.87E-17
                                                  Total 6.37E-15
Xe-131m 11.84 d IT          K -L2  1.59E-01  2.945E-02  7.49E-16
                            K -L3  2.94E-01  2.978E-02  1.40E-15
                            K -M2  2.76E-02  3.357E-02  1.48E-16
                            K -M3  5.35E-02  3.363E-02  2.88E-16
                            K -M4  2.72E-04  3.387E-02  1.48E-18
                            K -M5  3.72E-04  3.388E-02  2.02E-18
                            L -M4  5.79E-03  3.440E-02  3.19E-17
                            L -M5  1.13E-02  3.441E-02  6.22E-17
                            K -N2  5.07E-05  3.449E-02  2.80E-19
                            K -N3  6.92E-05  3.449E-02  3.82E-19
                            K -N4  5.93E-04  3.454E-02  3.28E-18
                            K -N5  1.12E-03  3.455E-02  6.21E-18
                            L1-L3  3.46E-06  3.130E-04  1.73E-22
                            L1-M2  6.51E-05  6.422E-04  6.69E-21
                            L1-M3  2.42E-03  4.427E-03  1.72E-18
                            L1-M4  3.81E-03  4.490E-03  2.74E-18
                            L1-M5  3.60E-05  4.726E-03  2.73E-20
                            L1-N2  5.38E-05  4.739E-03  4.09E-20
                            L1-N3  5.22E-04  5.256E-03  4.39E-19
                            L1-N4  8.43E-04  5.269E-03  7.12E-19
                            L1-N5  4.38E-06  5.347E-03  3.76E-21
                            L1-O2  6.66E-06  5.349E-03  5.71E-21
                            L1-O3  5.93E-05  5.405E-03  5.13E-20
                            L1-03  9.21E-05  5.406E-03  7.97E-20
                            L2-N1  1.80E-08  3.292E-04  9.52E-25
                            L2-N3  1.03E-03  3.982E-03  6.59E-19
                            L2-N4  1.49E-05  4.177E-03  9.99E-21
                            L2-N6  1.92E-02  4.413E-03  1.36E-17
                            L2-O1  1.47E-04  4.896E-03  1.16E-19
                            L2-O3  1.85E-06  4.956E-03  1.47E-21
                            L2-O4  2.86E-03  5.034E-03  2.31E-18
                            L2-P1  1.77E-05  5.080E-03  1.44E-20
                            L2-P3  2.02E-07  5.093E-03  1.64E-22
                            L3-N5  4.12E-03  3.653E-03  2.41E-18
                            L3-N6  2.28E-05  3.785E-03  1.38E-20
                            L3-N7  2.12E-05  3.848E-03  1.31E-20
                            L3-O1  4.21E-03  4.084E-03  2.76E-18
                            L3-O2  3.73E-02  4.097E-03  2.45E-17
                            L3-O3  3.63E-04  4.566E-03  2.66E-19
                            L3-O4  2.00E-06  4.614E-03  1.48E-21
                            L3-O5  1.92E-06  4.627E-03  1.43E-21
                            L3-O6  6.13E-04  4.705E-03  4.62E-19
                            L3-O7  5.46E-03  4.707E-03  4.12E-18
                            L3-P3  5.12E-05  4.751E-03  3.89E-20
                            L3-Q1  2.27E-07  4.762E-03  1.73E-22
                            M1-M2  2.09E-07  4.764E-03  1.60E-22
                            M3-M5  4.67E-03  6.093E-04  4.56E-19
                            M3-N1  1.16E-04  9.223E-05  1.71E-21
                            M3-N5  1.16E+01  1.662E-05  3.09E-17
                                                  Total 2.78E-15
Xe-133  5.243 d B+          K -L2  1.44E-01  3.062E-02  7.06E-16
                            K -L3  2.66E-01  3.098E-02  1.32E-15
                            K -M2  2.52E-02  3.493E-02  1.41E-16
                            K -M3  4.88E-02  3.499E-02  2.74E-16
                            K -M4  2.60E-04  3.524E-02  1.47E-18
                            K -M5  3.55E-04  3.525E-02  2.00E-18
                            L -M4  5.30E-03  3.580E-02  3.04E-17
                            L -M5  1.03E-02  3.582E-02  5.92E-17
